iter	Passed	Remaining
400	25265	37741
401	25330	37680
402	25393	37617
403	25458	37557
404	25522	37496
405	25587	37436
406	25655	37379
407	25725	37327
408	25805	37288
409	25868	37224
410	25935	37167
411	25998	37104
412	26065	37046
413	26126	36981
414	26191	36920
415	26253	36855
416	26318	36796
417	26382	36733
418	26444	36668
419	26509	36608
420	26571	36543
421	26639	36486
422	26700	36421
423	26765	36360
424	26829	36298
425	26891	36233
426	26956	36174
427	27019	36110
428	27086	36051
429	27149	35989
430	27213	35926
431	27276	35863
432	27341	35803
433	27401	35735
434	27467	35675
435	27531	35614
436	27594	35551
437	27664	35496
438	27728	35434
439	27795	35375
440	27858	35312
441	27924	35253
442	27985	35187
443	28052	35128
444	28116	35066
445	28181	35005
446	28244	34942
447	28310	34882
448	28376	34822
449	28438	34758
450	28503	34697
451	28566	34633
452	28634	34575
453	28696	34511
454	28760	34449
455	28825	34388
456	28886	34322
457	28949	34259
458	29014	34198
459	29078	34135
460	29140	34070
461	29204	34008
462	29267	33944
463	29333	33884
464	29396	33822
465	29460	33759
466	29524	33697
467	29586	33633
468	29654	33574
469	29717	33510
470	29781	33448
471	29845	33386
472	29908	33323
473	29971	33259
474	30035	33196
475	30084	33118
476	30151	33059
477	30215	32997
478	30279	32934
479	30341	32869
480	30405	32807
481	30469	32744
482	30531	32680
483	30598	32621
484	30661	32558
485	30724	32495
486	30745	32386
487	30807	32322
488	30870	32259
489	30935	32198
490	30999	32135
491	31066	32076
492	31130	32014
493	31193	31951
494	31256	31887
495	31317	31822
496	31381	31760
497	31442	31694
498	31505	31632
499	31567	31567
500	31636	31509
501	31697	31445
502	31764	31385
503	31795	31290
504	31857	31226
505	31918	31161
506	31987	31104
507	32049	31039
508	32111	30975
509	32175	30913
510	32239	30851
511	32301	30787
512	32365	30725
513	32426	30659
514	32490	30598
515	32551	30532
516	32616	30471
517	32678	30407
518	32744	30347
519	32805	30282
520	32872	30222
521	32933	30157
522	33000	30097
523	33061	30032
524	33124	29970
525	33188	29907
526	33249	29842
527	33314	29781
528	33376	29716
529	33443	29657
530	33505	29593
531	33571	29532
532	33632	29467
533	33699	29407
534	33761	29344
535	33825	29281
536	33888	29218
537	33954	29158
538	34015	29093
539	34079	29031
540	34142	28967
541	34206	28905
542	34267	28840
543	34331	28777
544	34393	28714
545	34458	28651
546	34523	28590
547	34587	28528
548	34650	28465
549	34714	28402
550	34776	28338
551	34842	28277
552	34902	28212
553	34968	28151
554	35029	28086
555	35093	28024
556	35153	27958
557	35214	27894
558	35278	27831
559	35341	27768
560	35408	27708
561	35471	27644
562	35555	27597
563	35642	27553
564	35708	27492
565	35775	27431
566	35840	27369
567	35907	27309
568	35974	27249
569	36038	27186
570	36107	27127
571	36168	27063
572	36232	27000
573	36294	26936
574	36358	26873
575	36419	26809
576	36484	26747
577	36545	26682
578	36612	26621
579	36675	26558
580	36738	26494
581	36806	26434
582	36873	26374
583	36938	26312
584	37002	26249
585	37066	26186
586	37128	26122
587	37190	26058
588	37253	25995
589	37315	25931
590	37378	25867
591	37439	25802
592	37504	25740
593	37564	25675
594	37630	25614
595	37690	25548
596	37758	25488
597	37818	25422
598	37882	25360
599	37945	25297
600	38006	25232
601	38078	25174
602	38148	25116
603	38214	25054
604	38279	24992
605	38342	24929
606	38402	24863
607	38467	24801
608	38497	24716
609	38561	24654
610	38626	24592
611	38693	24531
612	38768	24475
613	38834	24413
614	38898	24351
615	38961	24287
616	39028	24226
617	39093	24164
618	39157	24101
619	39222	24039
620	39286	23976
621	39350	23914
622	39414	23850
623	39478	23788
624	39542	23725
625	39611	23665
626	39675	23602
627	39745	23543
628	39809	23480
629	39877	23420
630	39941	23356
631	40007	23295
632	40070	23232
633	40137	23171
634	40201	23107
635	40264	23044
636	40330	22982
637	40395	22920
638	40491	22875
639	40556	22812
640	40618	22749
641	40683	22686
642	40753	22626
643	40822	22566
644	40886	22503
645	40953	22442
646	41015	22377
647	41082	22316
648	41144	22252
649	41206	22188
650	41274	22127
651	41338	22064
652	41408	22004
653	41479	21944
654	41543	21881
655	41613	21821
656	41677	21758
657	41740	21695
658	41802	21630
659	41868	21568
660	41931	21505
661	41996	21442
662	42058	21378
663	42121	21314
664	42187	21252
665	42246	21186
666	42311	21123
667	42372	21059
668	42437	20996
669	42497	20931
670	42561	20868
671	42627	20806
672	42690	20742
673	42750	20677
674	42816	20615
675	42878	20551
676	42956	20494
677	43022	20432
678	43086	20369
679	43149	20305
680	43208	20240
681	43273	20177
682	43335	20113
683	43403	20051
684	43464	19987
685	43529	19924
686	43597	19862
687	43660	19799
688	43727	19737
689	43792	19675
690	43859	19613
691	43920	19548
692	43983	19484
693	44046	19421
694	44116	19360
695	44179	19296
696	44240	19232
697	44302	19168
698	44362	19103
699	44427	19040
700	44489	18976
701	44554	18913
702	44616	18849
703	44680	18786
704	44739	18720
705	44803	18657
706	44873	18596
707	44932	18531
708	44995	18467
709	45062	18405
710	45128	18343
711	45189	18278
712	45254	18215
713	45314	18151
714	45379	18088
715	45442	18024
716	45504	17960
717	45566	17896
718	45667	17847
719	45733	17785
720	45796	17721
721	45859	17657
722	45926	17595
723	45989	17531
724	46048	17466
725	46112	17403
726	46174	17339
727	46236	17275
728	46300	17211
729	46362	17147
730	46423	17083
731	46488	17020
732	46552	16957
733	46614	16893
734	46680	16830
735	46740	16765
736	46804	16702
737	46876	16641
738	46964	16587
739	47031	16524
740	47090	16459
741	47156	16396
742	47217	16332
743	47285	16270
744	47345	16205
745	47405	16140
746	47483	16082
747	47559	16022
748	47641	15965
749	47703	15901
750	47770	15838
751	47845	15778
752	47907	15714
753	47972	15651
754	48034	15587
755	48098	15523
756	48162	15460
757	48223	15395
758	48287	15332
759	48350	15268
760	48419	15206
761	48481	15142
762	48543	15078
763	48606	15014
764	48673	14952
765	48731	14886
766	48796	14823
767	48859	14759
768	48924	14696
769	49001	14636
770	49066	14573
771	49128	14509
772	49194	14446
773	49256	14382
774	49321	14319
775	49383	14255
776	49446	14191
777	49508	14127
778	49577	14065
779	49642	14001
780	49703	13937
781	49779	13877
782	49846	13814
783	49871	13740
784	49931	13675
785	50001	13613
786	50063	13549
787	50126	13485
788	50194	13423
789	50258	13359
790	50324	13296
791	50390	13233
792	50463	13172
793	50535	13111
794	50594	13046
795	50662	12983
796	50728	12920
797	50793	12857
798	50857	12793
799	50919	12729
800	50978	12665
801	51042	12601
802	51102	12536
803	51172	12474
804	51234	12410
805	51302	12348
806	51366	12284
807	51433	12221
808	51504	12159
809	51564	12095
810	51629	12031
811	51689	11967
812	51753	11903
813	51817	11840
814	51882	11777
815	51943	11712
816	52009	11649
817	52069	11585
818	52133	11521
819	52194	11457
820	52258	11393
821	52318	11329
822	52384	11266
823	52445	11201
824	52511	11138
825	52573	11074
826	52636	11010
827	52704	10948
828	52767	10884
829	52828	10820
830	52893	10757
831	52953	10692
832	53016	10628
833	53079	10565
834	53142	10501
835	53205	10437
836	53269	10373
837	53332	10310
838	53394	10246
839	53454	10181
840	53528	10120
841	53628	10063
842	53741	10008
843	53803	9944
844	53867	9881
845	53930	9817
846	53997	9754
847	54059	9689
848	54123	9626
849	54184	9562
850	54247	9498
851	54309	9434
852	54372	9370
853	54435	9306
854	54498	9242
855	54577	9181
856	54641	9117
857	54704	9053
858	54765	8989
859	54831	8926
860	54895	8862
861	54963	8799
862	55041	8737
863	55104	8673
864	55165	8609
865	55226	8545
866	55290	8481
867	55352	8417
868	55413	8353
869	55476	8289
870	55537	8225
871	55602	8161
872	55670	8098
873	55730	8034
874	55796	7970
875	55857	7906
876	55922	7843
877	55985	7779
878	56046	7715
879	56109	7651
880	56171	7587
881	56234	7523
882	56295	7459
883	56361	7395
884	56424	7331
885	56487	7268
886	56563	7205
887	56627	7142
888	56688	7078
889	56752	7014
890	56817	6950
891	56880	6886
892	56942	6822
893	57006	6759
894	57069	6695
895	57133	6631
896	57194	6567
897	57258	6503
898	57321	6439
899	57382	6375
900	57445	6312
901	57511	6248
902	57575	6184
903	57639	6121
904	57706	6057
905	57768	5993
906	57834	5930
907	57896	5866
908	57961	5802
909	58022	5738
910	58115	5677
911	58184	5614
912	58253	5551
913	58321	5487
914	58387	5423
915	58447	5359
916	58512	5296
917	58575	5232
918	58637	5168
919	58707	5104
920	58769	5041
921	58849	4978
922	58911	4914
923	58976	4850
924	59038	4786
925	59106	4723
926	59166	4659
927	59231	4595
928	59294	4531
929	59358	4467
930	59420	4403
931	59483	4340
932	59545	4276
933	59632	4213
934	59700	4150
935	59766	4086
936	59831	4022
937	59896	3959
938	59958	3895
939	60027	3831
940	60089	3767
941	60153	3703
942	60215	3639
943	60285	3576
944	60348	3512
945	60410	3448
946	60474	3384
947	60535	3320
948	60597	3256
949	60665	3192
950	60727	3128
951	60788	3064
952	60850	3001
953	60916	2937
954	60977	2873
955	61040	2809
956	61103	2745
957	61164	2681
958	61227	2617
959	61288	2553
960	61354	2489
961	61416	2426
