iter	MultiClass
191	0.6454543007
192	0.6447973996
193	0.6442386591
194	0.6436081458
195	0.6429544118
196	0.6422465269
197	0.6416161113
198	0.6407883622
199	0.6400690543
200	0.639324966
201	0.6387175346
202	0.6381105574
203	0.6375872592
204	0.6369236969
205	0.6363937118
206	0.6359490192
207	0.6353656458
208	0.6347794103
209	0.6339704285
210	0.6332700678
211	0.6329311481
212	0.6323956125
213	0.6317399885
214	0.6312772594
215	0.6308065789
216	0.6303211669
217	0.6296843365
218	0.6292707273
219	0.6286175975
220	0.6280378943
221	0.6273380743
222	0.6270266703
223	0.6264654992
224	0.625814281
225	0.6251904293
226	0.6247043228
227	0.6243097081
228	0.6237520027
229	0.6233872812
230	0.6227560416
231	0.6223863639
232	0.6220375837
233	0.6216186312
234	0.6213000799
235	0.6208921065
236	0.6203808891
237	0.6199016514
238	0.6193577952
239	0.6187519565
240	0.6183635088
241	0.6178361164
242	0.6172151774
243	0.6166945103
244	0.616269448
245	0.6161235758
246	0.615779991
247	0.6153277652
248	0.6149410591
249	0.6146284759
250	0.6141031871
251	0.6136107693
252	0.6131324906
253	0.6124922189
254	0.6119398822
255	0.6113753545
256	0.6110327982
257	0.6107252151
258	0.6104773705
259	0.610020174
260	0.6096343882
261	0.6091505231
262	0.6087481881
263	0.6083609903
264	0.6079575018
265	0.6074790551
266	0.6071610785
267	0.6066988283
268	0.6062937061
269	0.6060107808
270	0.6056588178
271	0.6052927117
272	0.6049063374
273	0.6045677035
274	0.6041700503
275	0.6037598298
276	0.6033746355
277	0.602945793
278	0.6026217469
279	0.6023659733
280	0.6019762825
281	0.6016108205
282	0.6012820725
283	0.6008746384
284	0.6005971497
285	0.6001513495
286	0.5997546372
287	0.5994389733
288	0.5991612039
289	0.5988256354
290	0.5984243152
291	0.5981324565
292	0.5977524467
293	0.5972947396
294	0.5969617256
295	0.5966404425
296	0.596331931
297	0.5961007927
298	0.5957813269
299	0.5954600635
300	0.5951965678
301	0.5949325312
302	0.5945243661
303	0.5941369404
304	0.5937974314
305	0.5936180013
306	0.5934071934
307	0.593006511
308	0.5927972359
309	0.5926040398
310	0.5922516889
311	0.5920234505
312	0.5917261808
313	0.5913310723
314	0.5910296554
315	0.5906023468
316	0.5902525
317	0.5901203293
318	0.5898570946
319	0.5894585069
320	0.5891225781
321	0.588844068
322	0.5885512064
323	0.5881788739
324	0.5877759749
325	0.5874515898
326	0.5871370007
327	0.5868922591
328	0.5867175518
329	0.5865297026
330	0.586221484
331	0.5860121901
332	0.5857364464
333	0.5854055792
334	0.5851749213
335	0.5849471893
336	0.5846054827
337	0.5842985707
338	0.5841172579
339	0.583824111
340	0.5835800516
341	0.5833847063
342	0.5831412218
343	0.5829658162
344	0.5827888203
345	0.5826739639
346	0.5824973869
347	0.5822321905
348	0.5819764755
349	0.5816637892
350	0.5813816466
351	0.5812229936
352	0.5809788408
353	0.5807453781
354	0.5805434903
355	0.5803918822
356	0.5801386249
357	0.579817849
358	0.5794560733
359	0.5792303607
360	0.5790510215
361	0.578855377
362	0.5785875539
363	0.5784559217
364	0.5782361765
365	0.5779348697
366	0.5775376044
367	0.5773402625
368	0.5770274954
369	0.5768274544
370	0.5767009952
371	0.576412317
372	0.576085323
373	0.575846471
374	0.5756876304
375	0.5753965824
376	0.5750323048
377	0.5746858486
378	0.5743384723
379	0.5741318248
380	0.5738479658
381	0.5737190702
382	0.573522001
383	0.5733741335
384	0.5731697114
385	0.57290771
386	0.5726244508
387	0.5723933771
388	0.5723503969
389	0.5720492984
390	0.5718156565
391	0.5715691261
392	0.5713596057
393	0.5712606701
394	0.5711981653
395	0.5710065607
396	0.5708796949
397	0.5705993678
398	0.5704261561
399	0.5702556672
400	0.5701376474
401	0.5700294272
402	0.5699010535
403	0.5698175516
404	0.5695059835
405	0.569305524
406	0.5689504463
407	0.5686887551
408	0.5684456718
409	0.5682054772
410	0.5679659564
411	0.5677786703
412	0.5675919295
413	0.5673192171
414	0.5670501997
415	0.5668962077
416	0.5666722613
417	0.5664222432
418	0.5662623194
419	0.5660552795
420	0.565857636
421	0.5657435258
422	0.5655688571
423	0.5653281728
424	0.5651795779
425	0.564967622
426	0.5647967323
427	0.5645947207
428	0.5643111357
429	0.5640565471
430	0.5639348774
431	0.5636962512
432	0.563589533
433	0.5633487984
434	0.5632021948
435	0.5629932214
436	0.5628394518
437	0.5627455649
438	0.5625686553
439	0.5624252573
440	0.562361436
441	0.5622918221
442	0.5621403825
443	0.5620093315
444	0.5618545855
445	0.5616236293
446	0.561496807
447	0.5612075964
448	0.5610458717
449	0.5609039452
450	0.5607278852
451	0.5606219444
452	0.5605298041
453	0.5604161652
454	0.56030879
455	0.560182372
456	0.5600173284
457	0.5597430878
458	0.5596110251
459	0.5594554471
460	0.5592780762
461	0.5591066309
462	0.5588330624
463	0.558656476
464	0.5584905397
465	0.558342255
466	0.5582363049
467	0.558069803
468	0.5579753752
469	0.5577705993
470	0.5574635085
471	0.5574173057
472	0.5573265314
473	0.5571807922
474	0.5569868644
475	0.5569349681
476	0.5565991711
477	0.5562864648
478	0.55615532
479	0.5560306608
480	0.5558197451
481	0.5557676976
482	0.5557001022
483	0.5555124736
484	0.5554502899
485	0.5553629901
486	0.5553471821
487	0.5551470429
488	0.5549783075
489	0.5548762678
490	0.5546920921
491	0.5544671008
492	0.5542570713
493	0.5540526252
494	0.5538726306
495	0.5537410216
496	0.5535576463
497	0.5534683732
498	0.5533318005
499	0.5531921059
500	0.5531105996
501	0.552987271
502	0.5527461866
503	0.552673217
504	0.5524835002
505	0.552262239
506	0.5520851297
507	0.5519653919
508	0.5518596438
509	0.5516692917
510	0.5515604459
511	0.5514398653
512	0.5513249921
513	0.551152452
514	0.5509626218
515	0.5508460615
516	0.5506798007
517	0.550594327
518	0.5505209559
519	0.5504817054
520	0.5503560374
521	0.5501506756
522	0.5499857366
523	0.5496616477
524	0.5495692672
525	0.5493671345
526	0.5491860971
527	0.5490642302
528	0.5488890181
529	0.5487861577
530	0.5485394954
531	0.5484049687
532	0.5482299383
533	0.5479779425
534	0.5476872308
535	0.5475779702
536	0.5475214583
537	0.5474309577
538	0.5473215705
539	0.5471976228
540	0.5468781445
541	0.5467627502
542	0.5466451786
543	0.5463973669
544	0.546264413
545	0.5460894477
546	0.5459648289
547	0.5457742135
548	0.5456542953
549	0.5455241426
550	0.5453119827
551	0.5451752769
552	0.545039946
553	0.5449425935
554	0.5448301802
555	0.5447000532
556	0.5445834773
557	0.5444952211
558	0.5444244412
559	0.5442916842
560	0.5441927438
561	0.544069754
562	0.5438543102
563	0.5437307139
564	0.5435664262
565	0.5434490276
566	0.5433252418
567	0.5431608362
568	0.5430407669
569	0.5428954448
570	0.5427808349
571	0.5426697405
572	0.5426060644
573	0.5423801964
574	0.5421297518
575	0.5420565009
576	0.5419305011
577	0.541881889
578	0.5417036484
579	0.5415237638
580	0.5414727129
581	0.5412531527
582	0.5412107515
583	0.5410525223
584	0.5409493758
585	0.5407900706
586	0.5404864715
587	0.5402707565
588	0.5399664566
589	0.5398614177
590	0.5398105246
591	0.539690216
592	0.5396121409
593	0.5394483254
594	0.5393172435
595	0.53908344
596	0.5389193202
597	0.5388017355
598	0.5387287092
599	0.5386061457
600	0.5385295562
601	0.5384021051
602	0.5382930593
603	0.5381729912
604	0.5380718285
605	0.5379372982
606	0.5378089057
607	0.5377002154
608	0.5376294352
609	0.5375318426
610	0.5374339644
611	0.5372657695
612	0.5370445418
613	0.5368613468
614	0.5367929199
615	0.5366291589
616	0.5365015026
617	0.5364203409
618	0.5362821652
619	0.5361765031
620	0.5360758503
621	0.5359324311
622	0.535813142
623	0.5356951969
624	0.5355528136
625	0.5354469802
626	0.5353520419
627	0.5352912767
628	0.535166291
629	0.5350883911
630	0.5349571196
631	0.5348586678
632	0.5347441752
633	0.5345306686
634	0.5344650701
635	0.5342958561
636	0.5341341749
637	0.5339523264
638	0.533780599
639	0.5336194834
640	0.5334898557
641	0.5333707813
642	0.5332622002
643	0.5331519933
644	0.5330411533
645	0.5329157001
646	0.5327684104
647	0.5325616328
648	0.5325097037
649	0.5323652531
650	0.5322886985
651	0.5321985579
652	0.532007576
653	0.5318938848
654	0.5317139129
655	0.5315483985
656	0.5313935082
657	0.531282892
658	0.5312243211
659	0.5311138333
660	0.5310272841
661	0.530801835
662	0.5306705294
663	0.5305624651
664	0.5304803376
665	0.5303708558
666	0.5302571038
667	0.5301126579
668	0.5300108097
669	0.5297874961
670	0.5297072411
671	0.5295754618
672	0.5295336992
673	0.529409491
674	0.5292508109
675	0.5291352078
676	0.5290863083
677	0.5289676754
678	0.528763358
679	0.5285741548
680	0.5284983688
681	0.5284314704
682	0.5282404892
683	0.5281297674
684	0.5280589116
685	0.5279155628
686	0.5277421556
687	0.5276917576
688	0.5275336193
689	0.5273945462
690	0.5273356616
691	0.5272430412
692	0.5271713445
693	0.5270355269
694	0.5268444358
695	0.5267308477
696	0.5266156379
697	0.5265153676
698	0.5264035984
699	0.5263087429
700	0.526229991
701	0.5261520347
702	0.5261384677
703	0.526075173
704	0.5259021758
705	0.5257285741
706	0.5255173445
707	0.5254178016
708	0.5252994692
709	0.5252052724
710	0.5251383728
711	0.5250687054
712	0.5249868646
713	0.5248729225
714	0.5246621813
715	0.5245181493
716	0.5243824244
717	0.5242853717
718	0.5241682808
719	0.5239210394
720	0.5237648394
721	0.5236626374
722	0.5235596379
723	0.5234557513
724	0.5233224099
725	0.523273153
726	0.5232090099
727	0.52316441
728	0.5230293723
729	0.5229583942
730	0.5228904394
731	0.5226546131
732	0.522550002
733	0.5224179649
734	0.5223004579
735	0.5221603935
736	0.5220335972
737	0.5219762274
738	0.5218783707
739	0.5217435697
740	0.5217248884
741	0.5215150884
742	0.5214086634
743	0.5213012658
744	0.521179599
745	0.5210791959
746	0.5210273718
747	0.5209315974
748	0.5208362355
749	0.5207272804
750	0.5206773011
751	0.5205190395
752	0.5203387798
753	0.5202894619
754	0.5201170789
755	0.519948146
756	0.519787145
757	0.5196956096
758	0.5195985173
759	0.5194693973
760	0.5193578425
761	0.5192970061
762	0.5192517314
763	0.5191093286
764	0.5189619298
765	0.5188176538
766	0.5186964544
767	0.5185108701
768	0.5183139066
769	0.5181877885
770	0.5181215008
771	0.518019994
772	0.5178759334
773	0.5176262686
774	0.5174782573
775	0.5174115091
776	0.5173353616
777	0.5172660053
778	0.5172078011
779	0.5171254084
780	0.5170270268
781	0.5170047347
782	0.5169336243
783	0.5169167826
784	0.5168451705
785	0.5167122701
786	0.5166064394
787	0.5165410553
788	0.5163346268
789	0.5162468331
790	0.5160827247
791	0.5160015125
792	0.5158994702
793	0.5158290515
794	0.5157533267
795	0.5155294252
796	0.5154062138
797	0.5153137424
798	0.5152174714
799	0.5150512609
800	0.5148456683
801	0.5148227313
802	0.5146962813
803	0.514585354
804	0.5144773609
805	0.5143914205
806	0.5142894053
807	0.5141977329
808	0.5141253971
809	0.5140524482
810	0.5139431564
811	0.5138517718
812	0.5137203557
813	0.5135486868
814	0.5133824322
815	0.5132908408
816	0.5132213042
817	0.5130847916
818	0.5130164837
819	0.5128130492
820	0.5127481439
821	0.5127011855
822	0.5126324099
823	0.512449793
824	0.5122797639
825	0.5121626317
826	0.5120417731
827	0.5118436718
828	0.5116882478
829	0.5116137762
830	0.5115465519
831	0.5114555464
832	0.5112895385
833	0.5111574556
834	0.5110745021
835	0.5109073079
836	0.5108197586
837	0.5106188874
838	0.5105398069
839	0.5103968396
840	0.5103713421
841	0.5101892402
842	0.5099908998
843	0.5098051908
844	0.5097030763
845	0.5095654884
846	0.5094868242
847	0.5094222728
848	0.5093506121
849	0.5091793335
850	0.5091052554
851	0.5090814548
852	0.5090517078
853	0.5088420266
854	0.5086764702
855	0.5086300456
856	0.5084314987
857	0.5082722944
858	0.508168639
859	0.5079985742
860	0.5079115006
861	0.5078029567
862	0.5075942898
863	0.5073225241
864	0.5071616085
865	0.5069969023
866	0.5069224007
867	0.5067559856
868	0.5065566959
869	0.5064714134
870	0.5063595641
871	0.5062724047
872	0.506195191
873	0.5061278075
874	0.5060564662
875	0.5059248264
876	0.5058398826
877	0.5057139669
878	0.5055376355
879	0.5053907534
880	0.5052472095
881	0.5051790543
882	0.5051290356
883	0.5050552573
884	0.5048678741
885	0.5047173623
886	0.5045467353
887	0.5044538202
888	0.5044232821
889	0.5043156319
890	0.5040788007
891	0.5039781789
892	0.5037807303
893	0.5036222812
894	0.5034616214
895	0.5033245293
896	0.5031575577
897	0.5030248964
898	0.50281195
899	0.5025944013
900	0.5025371464
901	0.502468797
902	0.5023644962
903	0.5021866152
904	0.5021392089
905	0.5020958723
906	0.5020162016
907	0.5019532343
908	0.5018323804
909	0.5017426371
910	0.5016698905
911	0.5016138058
912	0.5014581527
913	0.5012989073
914	0.5011854942
915	0.5009940845
916	0.5009223615
917	0.5008427475
918	0.5007648187
919	0.5006114187
920	0.5004220923
921	0.500347365
922	0.5002520656
923	0.5001840116
924	0.50007443
925	0.4999133257
926	0.4998417427
927	0.4996418251
928	0.4994598759
929	0.4993361347
930	0.4991024227
931	0.4989800088
932	0.4988674352
933	0.4987180807
934	0.4986122306
935	0.4985334982
936	0.4984488793
937	0.4983550726
938	0.4982089907
939	0.4981062649
940	0.4979880741
941	0.4978076534
942	0.4976726932
943	0.4974229459
944	0.4973385268
945	0.4972051502
946	0.4970376782
947	0.4968781538
948	0.4967930868
949	0.4966610093
950	0.4964406941
951	0.4962593733
952	0.4961680045
953	0.4960265594
954	0.4959647759
955	0.4958317842
956	0.4957469531
957	0.4956650547
958	0.4956478158
959	0.4955716479
960	0.4954504516
961	0.4952900784
962	0.495156363
963	0.4950254894
964	0.4948369388
965	0.4947343743
966	0.4946826886
967	0.4946366674
968	0.494504747
969	0.4944718114
970	0.4944143628
971	0.4942816219
972	0.4940654293
973	0.4939793378
974	0.493826193
975	0.4937459627
976	0.4935669343
977	0.4934037643
978	0.4932902314
979	0.4931741148
980	0.4930504327
981	0.4930003142
982	0.492890486
983	0.4928314556
984	0.4927336833
985	0.4926111363
986	0.4925097324
987	0.4924019398
988	0.492241486
989	0.4921754394
990	0.4919822616
991	0.4917574811
992	0.4917053638
993	0.4915398515
994	0.4914764566
995	0.4913287084
996	0.491207849
997	0.4911896107
998	0.4911261822
999	0.4910260968
